,kind,id,etag,selfLink,Title,volumeInfo.subtitle,Author,volumeInfo.publishedDate,volumeInfo.description,volumeInfo.industryIdentifiers,volumeInfo.readingModes.text,volumeInfo.readingModes.image,volumeInfo.pageCount,volumeInfo.printType,volumeInfo.averageRating,volumeInfo.ratingsCount,volumeInfo.maturityRating,volumeInfo.allowAnonLogging,volumeInfo.contentVersion,volumeInfo.panelizationSummary.containsEpubBubbles,volumeInfo.panelizationSummary.containsImageBubbles,volumeInfo.imageLinks.smallThumbnail,volumeInfo.imageLinks.thumbnail,volumeInfo.language,volumeInfo.previewLink,volumeInfo.infoLink,volumeInfo.canonicalVolumeLink,saleInfo.country,saleInfo.saleability,saleInfo.isEbook,accessInfo.country,accessInfo.viewability,accessInfo.embeddable,accessInfo.publicDomain,accessInfo.textToSpeechPermission,accessInfo.epub.isAvailable,accessInfo.pdf.isAvailable,accessInfo.webReaderLink,accessInfo.accessViewStatus,accessInfo.quoteSharingAllowed,searchInfo.textSnippet,volumeInfo.publisher,volumeInfo.categories,saleInfo.listPrice.amount,saleInfo.listPrice.currencyCode,saleInfo.retailPrice.amount,saleInfo.retailPrice.currencyCode,saleInfo.buyLink,saleInfo.offers,accessInfo.epub.acsTokenLink,Topic,accessInfo.pdf.acsTokenLink
21,books#volume,UiM3DwAAQBAJ,nigjUxsEPB8,https://www.googleapis.com/books/v1/volumes/UiM3DwAAQBAJ,Python for Data Analysis,"Data Wrangling with Pandas, NumPy, and IPython",['Wes McKinney'],2017-09-25,"Get complete instructions for manipulating, processing, cleaning, and crunching datasets in Python. Updated for Python 3.6, the second edition of this hands-on guide is packed with practical case studies that show you how to solve a broad set of data analysis problems effectively. You’ll learn the latest versions of pandas, NumPy, IPython, and Jupyter in the process. Written by Wes McKinney, the creator of the Python pandas project, this book is a practical, modern introduction to data science tools in Python. It’s ideal for analysts new to Python and for Python programmers new to data science and scientific computing. Data files and related material are available on GitHub. Use the IPython shell and Jupyter notebook for exploratory computing Learn basic and advanced features in NumPy (Numerical Python) Get started with data analysis tools in the pandas library Use flexible tools to load, clean, transform, merge, and reshape data Create informative visualizations with matplotlib Apply the pandas groupby facility to slice, dice, and summarize datasets Analyze and manipulate regular and irregular time series data Learn how to solve real-world data analysis problems with thorough, detailed examples","[{'type': 'ISBN_13', 'identifier': '9781491957615'}, {'type': 'ISBN_10', 'identifier': '1491957611'}]",True,True,550.0,BOOK,5.0,1.0,NOT_MATURE,True,1.5.6.0.preview.3,False,False,http://books.google.com/books/content?id=UiM3DwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=UiM3DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com/books?id=UiM3DwAAQBAJ&printsec=frontcover&dq=Data+Analysis&hl=&cd=2&source=gbs_api,https://play.google.com/store/books/details?id=UiM3DwAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=UiM3DwAAQBAJ,US,FOR_SALE,True,US,PARTIAL,True,False,ALLOWED,True,True,http://play.google.com/books/reader?id=UiM3DwAAQBAJ&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,"You’ll learn the latest versions of pandas, NumPy, IPython, and Jupyter in the process. Written by Wes McKinney, the creator of the Python pandas project, this book is a practical, modern introduction to data science tools in Python.","""O'Reilly Media, Inc.""",['Computers'],50.99,USD,50.99,USD,https://play.google.com/store/books/details?id=UiM3DwAAQBAJ&rdid=book-UiM3DwAAQBAJ&rdot=1&source=gbs_api,"[{'finskyOfferType': 1, 'listPrice': {'amountInMicros': 50990000, 'currencyCode': 'USD'}, 'retailPrice': {'amountInMicros': 50990000, 'currencyCode': 'USD'}, 'giftable': True}]",,data_analytics,
22,books#volume,xb29DwAAQBAJ,O/ymXIurxvM,https://www.googleapis.com/books/v1/volumes/xb29DwAAQBAJ,Introduction to Data Science,Data Analysis and Prediction Algorithms with R,['Rafael A. Irizarry'],2019-11-20,"Introduction to Data Science: Data Analysis and Prediction Algorithms with R introduces concepts and skills that can help you tackle real-world data analysis challenges. It covers concepts from probability, statistical inference, linear regression, and machine learning. It also helps you develop skills such as R programming, data wrangling, data visualization, predictive algorithm building, file organization with UNIX/Linux shell, version control with Git and GitHub, and reproducible document preparation. This book is a textbook for a first course in data science. No previous knowledge of R is necessary, although some experience with programming may be helpful. The book is divided into six parts: R, data visualization, statistics with R, data wrangling, machine learning, and productivity tools. Each part has several chapters meant to be presented as one lecture. The author uses motivating case studies that realistically mimic a data scientist’s experience. He starts by asking specific questions and answers these through data analysis so concepts are learned as a means to answering the questions. Examples of the case studies included are: US murder rates by state, self-reported student heights, trends in world health and economics, the impact of vaccines on infectious disease rates, the financial crisis of 2007-2008, election forecasting, building a baseball team, image processing of hand-written digits, and movie recommendation systems. The statistical concepts used to answer the case study questions are only briefly introduced, so complementing with a probability and statistics textbook is highly recommended for in-depth understanding of these concepts. If you read and understand the chapters and complete the exercises, you will be prepared to learn the more advanced concepts and skills needed to become an expert.","[{'type': 'ISBN_13', 'identifier': '9781000708035'}, {'type': 'ISBN_10', 'identifier': '1000708039'}]",True,True,713.0,BOOK,,,NOT_MATURE,False,1.2.2.0.preview.3,False,False,http://books.google.com/books/content?id=xb29DwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=xb29DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com/books?id=xb29DwAAQBAJ&pg=PA1&dq=Data+Analysis&hl=&cd=3&source=gbs_api,http://books.google.com/books?id=xb29DwAAQBAJ&dq=Data+Analysis&hl=&source=gbs_api,https://books.google.com/books/about/Introduction_to_Data_Science.html?hl=&id=xb29DwAAQBAJ,US,NOT_FOR_SALE,False,US,PARTIAL,True,False,ALLOWED,True,True,http://play.google.com/books/reader?id=xb29DwAAQBAJ&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,"This book is a textbook for a first course in data science. No previous knowledge of R is necessary, although some experience with programming may be helpful.",CRC Press,['Mathematics'],,,,,,,http://books.google.com/books/download/Introduction_to_Data_Science-sample-epub.acsm?id=xb29DwAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api,data_analytics,http://books.google.com/books/download/Introduction_to_Data_Science-sample-pdf.acsm?id=xb29DwAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api
23,books#volume,6OSvDBE0rCIC,XiO5BwAix5o,https://www.googleapis.com/books/v1/volumes/6OSvDBE0rCIC,Data Analysis,What Can Be Learned From the Past 50 Years,['Peter J. Huber'],2012-01-09,"This book explores the many provocative questions concerning the fundamentals of data analysis. It is based on the time-tested experience of one of the gurus of the subject matter. Why should one study data analysis? How should it be taught? What techniques work best, and for whom? How valid are the results? How much data should be tested? Which machine languages should be used, if used at all? Emphasis on apprenticeship (through hands-on case studies) and anecdotes (through real-life applications) are the tools that Peter J. Huber uses in this volume. Concern with specific statistical techniques is not of immediate value; rather, questions of strategy – when to use which technique – are employed. Central to the discussion is an understanding of the significance of massive (or robust) data sets, the implementation of languages, and the use of models. Each is sprinkled with an ample number of examples and case studies. Personal practices, various pitfalls, and existing controversies are presented when applicable. The book serves as an excellent philosophical and historical companion to any present-day text in data analysis, robust statistics, data mining, statistical learning, or computational statistics.","[{'type': 'ISBN_13', 'identifier': '9781118018262'}, {'type': 'ISBN_10', 'identifier': '1118018265'}]",True,True,234.0,BOOK,,,NOT_MATURE,False,0.5.6.0.preview.3,False,False,http://books.google.com/books/content?id=6OSvDBE0rCIC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=6OSvDBE0rCIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com/books?id=6OSvDBE0rCIC&printsec=frontcover&dq=Data+Analysis&hl=&cd=4&source=gbs_api,https://play.google.com/store/books/details?id=6OSvDBE0rCIC&source=gbs_api,https://play.google.com/store/books/details?id=6OSvDBE0rCIC,US,FOR_SALE,True,US,PARTIAL,True,False,ALLOWED,True,True,http://play.google.com/books/reader?id=6OSvDBE0rCIC&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,This book explores the many provocative questions concerning the fundamentals of data analysis. It is based on the time-tested experience of one of the gurus of the subject matter. Why should one study data analysis?,John Wiley & Sons,['Mathematics'],110.0,USD,110.0,USD,https://play.google.com/store/books/details?id=6OSvDBE0rCIC&rdid=book-6OSvDBE0rCIC&rdot=1&source=gbs_api,"[{'finskyOfferType': 1, 'listPrice': {'amountInMicros': 110000000, 'currencyCode': 'USD'}, 'retailPrice': {'amountInMicros': 110000000, 'currencyCode': 'USD'}, 'giftable': True}]",http://books.google.com/books/download/Data_Analysis-sample-epub.acsm?id=6OSvDBE0rCIC&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api,data_analytics,http://books.google.com/books/download/Data_Analysis-sample-pdf.acsm?id=6OSvDBE0rCIC&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api
24,books#volume,ZXL6AQAAQBAJ,yvoGTlD8aJ4,https://www.googleapis.com/books/v1/volumes/ZXL6AQAAQBAJ,"Bayesian Data Analysis, Third Edition",,"['Andrew Gelman', 'John B. Carlin', 'Hal S. Stern', 'David B. Dunson', 'Aki Vehtari', 'Donald B. Rubin']",2013-11-01,"Now in its third edition, this classic book is widely considered the leading text on Bayesian methods, lauded for its accessible, practical approach to analyzing data and solving research problems. Bayesian Data Analysis, Third Edition continues to take an applied approach to analysis using up-to-date Bayesian methods. The authors—all leaders in the statistics community—introduce basic concepts from a data-analytic perspective before presenting advanced methods. Throughout the text, numerous worked examples drawn from real applications and research emphasize the use of Bayesian inference in practice. New to the Third Edition Four new chapters on nonparametric modeling Coverage of weakly informative priors and boundary-avoiding priors Updated discussion of cross-validation and predictive information criteria Improved convergence monitoring and effective sample size calculations for iterative simulation Presentations of Hamiltonian Monte Carlo, variational Bayes, and expectation propagation New and revised software code The book can be used in three different ways. For undergraduate students, it introduces Bayesian inference starting from first principles. For graduate students, the text presents effective current approaches to Bayesian modeling and computation in statistics and related fields. For researchers, it provides an assortment of Bayesian methods in applied statistics. Additional materials, including data sets used in the examples, solutions to selected exercises, and software instructions, are available on the book’s web page.","[{'type': 'ISBN_13', 'identifier': '9781439840955'}, {'type': 'ISBN_10', 'identifier': '1439840954'}]",False,True,675.0,BOOK,5.0,1.0,NOT_MATURE,False,preview-1.0.0,,,http://books.google.com/books/content?id=ZXL6AQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=ZXL6AQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com/books?id=ZXL6AQAAQBAJ&printsec=frontcover&dq=Data+Analysis&hl=&cd=5&source=gbs_api,http://books.google.com/books?id=ZXL6AQAAQBAJ&dq=Data+Analysis&hl=&source=gbs_api,https://books.google.com/books/about/Bayesian_Data_Analysis_Third_Edition.html?hl=&id=ZXL6AQAAQBAJ,US,NOT_FOR_SALE,False,US,PARTIAL,True,False,ALLOWED,False,False,http://play.google.com/books/reader?id=ZXL6AQAAQBAJ&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,"Now in its third edition, this classic book is widely considered the leading text on Bayesian methods, lauded for its accessible, practical approach to analyzing data and solving research problems.",CRC Press,['Mathematics'],,,,,,,,data_analytics,
25,books#volume,eaz0DwAAQBAJ,KyDWZtFFgT0,https://www.googleapis.com/books/v1/volumes/eaz0DwAAQBAJ,Humanities Data Analysis,Case Studies with Python,"['Folgert Karsdorp', 'Mike Kestemont', 'Allen Riddell']",2021-01-12,"A practical guide to data-intensive humanities research using the Python programming language The use of quantitative methods in the humanities and related social sciences has increased considerably in recent years, allowing researchers to discover patterns in a vast range of source materials. Despite this growth, there are few resources addressed to students and scholars who wish to take advantage of these powerful tools. Humanities Data Analysis offers the first intermediate-level guide to quantitative data analysis for humanities students and scholars using the Python programming language. This practical textbook, which assumes a basic knowledge of Python, teaches readers the necessary skills for conducting humanities research in the rapidly developing digital environment. The book begins with an overview of the place of data science in the humanities, and proceeds to cover data carpentry: the essential techniques for gathering, cleaning, representing, and transforming textual and tabular data. Then, drawing from real-world, publicly available data sets that cover a variety of scholarly domains, the book delves into detailed case studies. Focusing on textual data analysis, the authors explore such diverse topics as network analysis, genre theory, onomastics, literacy, author attribution, mapping, stylometry, topic modeling, and time series analysis. Exercises and resources for further reading are provided at the end of each chapter. An ideal resource for humanities students and scholars aiming to take their Python skills to the next level, Humanities Data Analysis illustrates the benefits that quantitative methods can bring to complex research questions. Appropriate for advanced undergraduates, graduate students, and scholars with a basic knowledge of Python Applicable to many humanities disciplines, including history, literature, and sociology Offers real-world case studies using publicly available data sets Provides exercises at the end of each chapter for students to test acquired skills Emphasizes visual storytelling via data visualizations","[{'type': 'ISBN_13', 'identifier': '9780691172361'}, {'type': 'ISBN_10', 'identifier': '0691172366'}]",False,True,360.0,BOOK,,,NOT_MATURE,False,1.1.1.0.preview.1,False,False,http://books.google.com/books/content?id=eaz0DwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=eaz0DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com/books?id=eaz0DwAAQBAJ&pg=PP1&dq=Data+Analysis&hl=&cd=6&source=gbs_api,http://books.google.com/books?id=eaz0DwAAQBAJ&dq=Data+Analysis&hl=&source=gbs_api,https://books.google.com/books/about/Humanities_Data_Analysis.html?hl=&id=eaz0DwAAQBAJ,US,NOT_FOR_SALE,False,US,PARTIAL,True,False,ALLOWED,False,False,http://play.google.com/books/reader?id=eaz0DwAAQBAJ&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,"The book begins with an overview of the place of data science in the humanities, and proceeds to cover data carpentry: the essential techniques for gathering, cleaning, representing, and transforming textual and tabular data.",Princeton University Press,['Computers'],,,,,,,,data_analytics,
26,books#volume,q6bwDwAAQBAJ,AvpGXD6SYPQ,https://www.googleapis.com/books/v1/volumes/q6bwDwAAQBAJ,Applied Survey Data Analysis,,"['Steven G. Heeringa', 'Brady T. West', 'Patricia A. Berglund']",2017-07-12,"Highly recommended by the Journal of Official Statistics, The American Statistician, and other journals, Applied Survey Data Analysis, Second Edition provides an up-to-date overview of state-of-the-art approaches to the analysis of complex sample survey data. Building on the wealth of material on practical approaches to descriptive analysis and regression modeling from the first edition, this second edition expands the topics covered and presents more step-by-step examples of modern approaches to the analysis of survey data using the newest statistical software. Designed for readers working in a wide array of disciplines who use survey data in their work, this book continues to provide a useful framework for integrating more in-depth studies of the theory and methods of survey data analysis. An example-driven guide to the applied statistical analysis and interpretation of survey data, the second edition contains many new examples and practical exercises based on recent versions of real-world survey data sets. Although the authors continue to use Stata for most examples in the text, they also continue to offer SAS, SPSS, SUDAAN, R, WesVar, IVEware, and Mplus software code for replicating the examples on the book’s updated website.","[{'type': 'ISBN_13', 'identifier': '9781498761611'}, {'type': 'ISBN_10', 'identifier': '1498761615'}]",False,True,568.0,BOOK,,,NOT_MATURE,False,0.1.2.0.preview.1,False,False,http://books.google.com/books/content?id=q6bwDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=q6bwDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com/books?id=q6bwDwAAQBAJ&pg=PP1&dq=Data+Analysis&hl=&cd=7&source=gbs_api,https://play.google.com/store/books/details?id=q6bwDwAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=q6bwDwAAQBAJ,US,FOR_SALE,True,US,PARTIAL,True,False,ALLOWED,False,True,http://play.google.com/books/reader?id=q6bwDwAAQBAJ&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,"Designed for readers working in a wide array of disciplines who use survey data in their work, this book continues to provide a useful framework for integrating more in-depth studies of the theory and methods of survey data analysis.",CRC Press,['Mathematics'],54.95,USD,43.41,USD,https://play.google.com/store/books/details?id=q6bwDwAAQBAJ&rdid=book-q6bwDwAAQBAJ&rdot=1&source=gbs_api,"[{'finskyOfferType': 1, 'listPrice': {'amountInMicros': 54950000, 'currencyCode': 'USD'}, 'retailPrice': {'amountInMicros': 43410000, 'currencyCode': 'USD'}, 'giftable': True}]",,data_analytics,http://books.google.com/books/download/Applied_Survey_Data_Analysis-sample-pdf.acsm?id=q6bwDwAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api
27,books#volume,Ha0jEAAAQBAJ,h25D4N4yjqk,https://www.googleapis.com/books/v1/volumes/Ha0jEAAAQBAJ,Data Analytics,A Small Data Approach,"['Shuai Huang', 'Houtao Deng']",2021-04-16,"Data Analytics: A Small Data Approach is suitable for an introductory data analytics course to help students understand some main statistical learning models. It has many small datasets to guide students to work out pencil solutions of the models and then compare with results obtained from established R packages. Also, as data science practice is a process that should be told as a story, in this book there are many course materials about exploratory data analysis, residual analysis, and flowcharts to develop and validate models and data pipelines. The main models covered in this book include linear regression, logistic regression, tree models and random forests, ensemble learning, sparse learning, principal component analysis, kernel methods including the support vector machine and kernel regression, and deep learning. Each chapter introduces two or three techniques. For each technique, the book highlights the intuition and rationale first, then shows how mathematics is used to articulate the intuition and formulate the learning problem. R is used to implement the techniques on both simulated and real-world dataset. Python code is also available at the book’s website: http://dataanalyticsbook.info.","[{'type': 'ISBN_13', 'identifier': '9781000372489'}, {'type': 'ISBN_10', 'identifier': '1000372480'}]",True,True,276.0,BOOK,,,NOT_MATURE,False,preview-1.0.0,False,False,http://books.google.com/books/content?id=Ha0jEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=Ha0jEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com/books?id=Ha0jEAAAQBAJ&pg=PP1&dq=Data+Analysis&hl=&cd=8&source=gbs_api,http://books.google.com/books?id=Ha0jEAAAQBAJ&dq=Data+Analysis&hl=&source=gbs_api,https://books.google.com/books/about/Data_Analytics.html?hl=&id=Ha0jEAAAQBAJ,US,NOT_FOR_SALE,False,US,PARTIAL,True,False,ALLOWED,True,True,http://play.google.com/books/reader?id=Ha0jEAAAQBAJ&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,"Also, as data science practice is a process that should be told as a story, in this book there are many course materials about exploratory data analysis, residual analysis, and flowcharts to develop and validate models and data pipelines.",CRC Press,['Mathematics'],,,,,,,http://books.google.com/books/download/Data_Analytics-sample-epub.acsm?id=Ha0jEAAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api,data_analytics,http://books.google.com/books/download/Data_Analytics-sample-pdf.acsm?id=Ha0jEAAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api
28,books#volume,JhL2FiF3hO4C,S1wlVD29IVQ,https://www.googleapis.com/books/v1/volumes/JhL2FiF3hO4C,Statistical Data Analysis,,['Glen Cowan'],1998,"This book is a guide to the practical application of statistics in data analysis as typically encountered in the physical sciences. It is primarily addressed at students and professionals who need to draw quantitative conclusions from experimental data. Although most of the examples are taken from particle physics, the material is presented in a sufficiently general way as to be useful to people from most branches of the physical sciences. The first part of the book describes the basic tools of data analysis: concepts of probability and random variables, Monte Carlo techniques, statistical tests, and methods of parameter estimation. The last three chapters are somewhat more specialized than those preceding, covering interval estimation, characteristic functions, and the problem of correcting distributions for the effects of measurement errors (unfolding).","[{'type': 'ISBN_13', 'identifier': '9780198501565'}, {'type': 'ISBN_10', 'identifier': '0198501560'}]",False,True,197.0,BOOK,,,NOT_MATURE,False,0.1.0.0.preview.1,,,http://books.google.com/books/content?id=JhL2FiF3hO4C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=JhL2FiF3hO4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com/books?id=JhL2FiF3hO4C&printsec=frontcover&dq=Data+Analysis&hl=&cd=9&source=gbs_api,http://books.google.com/books?id=JhL2FiF3hO4C&dq=Data+Analysis&hl=&source=gbs_api,https://books.google.com/books/about/Statistical_Data_Analysis.html?hl=&id=JhL2FiF3hO4C,US,NOT_FOR_SALE,False,US,PARTIAL,True,False,ALLOWED,False,True,http://play.google.com/books/reader?id=JhL2FiF3hO4C&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,The book is a guide to the practical application of statistics in data analysis as typically encountered in the physical sciences.,Oxford University Press,['Mathematics'],,,,,,,,data_analytics,http://books.google.com/books/download/Statistical_Data_Analysis-sample-pdf.acsm?id=JhL2FiF3hO4C&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api
29,books#volume,tO4CEAAAQBAJ,aFq6qHUCe40,https://www.googleapis.com/books/v1/volumes/tO4CEAAAQBAJ,Dyadic Data Analysis,,"['David A. Kenny', 'Deborah A. Kashy', 'William L. Cook']",2020-11-26,"Interpersonal phenomena such as attachment, conflict, person perception, learning, and influence have traditionally been studied by examining individuals in isolation, which falls short of capturing their truly interpersonal nature. This book offers state-of-the-art solutions to this age-old problem by presenting methodological and data-analytic approaches useful in investigating processes that take place among dyads: couples, coworkers, parent and child, teacher and student, or doctor and patient, to name just a few. Rich examples from psychology and across the behavioral and social sciences help build the researcher's ability to conceptualize relationship processes; model and test for actor effects, partner effects, and relationship effects; and model and control for the statistical interdependence that can exist between partners. The companion website provides clarifications, elaborations, corrections, and data and files for each chapter.","[{'type': 'ISBN_13', 'identifier': '9781462546138'}, {'type': 'ISBN_10', 'identifier': '1462546137'}]",False,False,458.0,BOOK,,,NOT_MATURE,False,preview-1.0.0,False,False,http://books.google.com/books/content?id=tO4CEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=tO4CEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com/books?id=tO4CEAAAQBAJ&pg=PP1&dq=Data+Analysis&hl=&cd=10&source=gbs_api,http://books.google.com/books?id=tO4CEAAAQBAJ&dq=Data+Analysis&hl=&source=gbs_api,https://books.google.com/books/about/Dyadic_Data_Analysis.html?hl=&id=tO4CEAAAQBAJ,US,NOT_FOR_SALE,False,US,PARTIAL,True,False,ALLOWED,False,False,http://play.google.com/books/reader?id=tO4CEAAAQBAJ&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,"This book offers state-of-the-art solutions to this age-old problem by presenting methodological and data-analytic approaches useful in investigating processes that take place among dyads: couples, coworkers, parent and child, teacher and ...",Guilford Publications,['Psychology'],,,,,,,,data_analytics,
30,books#volume,omivDQAAQBAJ,bpOgV7hnyYs,https://www.googleapis.com/books/v1/volumes/omivDQAAQBAJ,Deep Learning,,"['Ian Goodfellow', 'Yoshua Bengio', 'Aaron Courville']",2016-11-10,"An introduction to a broad range of topics in deep learning, covering mathematical and conceptual background, deep learning techniques used in industry, and research perspectives. “Written by three experts in the field, Deep Learning is the only comprehensive book on the subject.” —Elon Musk, cochair of OpenAI; cofounder and CEO of Tesla and SpaceX Deep learning is a form of machine learning that enables computers to learn from experience and understand the world in terms of a hierarchy of concepts. Because the computer gathers knowledge from experience, there is no need for a human computer operator to formally specify all the knowledge that the computer needs. The hierarchy of concepts allows the computer to learn complicated concepts by building them out of simpler ones; a graph of these hierarchies would be many layers deep. This book introduces a broad range of topics in deep learning. The text offers mathematical and conceptual background, covering relevant concepts in linear algebra, probability theory and information theory, numerical computation, and machine learning. It describes deep learning techniques used by practitioners in industry, including deep feedforward networks, regularization, optimization algorithms, convolutional networks, sequence modeling, and practical methodology; and it surveys such applications as natural language processing, speech recognition, computer vision, online recommendation systems, bioinformatics, and videogames. Finally, the book offers research perspectives, covering such theoretical topics as linear factor models, autoencoders, representation learning, structured probabilistic models, Monte Carlo methods, the partition function, approximate inference, and deep generative models. Deep Learning can be used by undergraduate or graduate students planning careers in either industry or research, and by software engineers who want to begin using deep learning in their products or platforms. A website offers supplementary material for both readers and instructors.","[{'type': 'ISBN_13', 'identifier': '9780262337373'}, {'type': 'ISBN_10', 'identifier': '0262337371'}]",True,True,800.0,BOOK,5.0,1.0,NOT_MATURE,True,1.7.2.0.preview.3,False,False,http://books.google.com/books/content?id=omivDQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=omivDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com/books?id=omivDQAAQBAJ&printsec=frontcover&dq=Machine+Learning&hl=&cd=1&source=gbs_api,https://play.google.com/store/books/details?id=omivDQAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=omivDQAAQBAJ,US,FOR_SALE,True,US,PARTIAL,True,False,ALLOWED,True,True,http://play.google.com/books/reader?id=omivDQAAQBAJ&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,The hierarchy of concepts allows the computer to learn complicated concepts by building them out of simpler ones; a graph of these hierarchies would be many layers deep. This book introduces a broad range of topics in deep learning.,MIT Press,['Computers'],49.99,USD,49.99,USD,https://play.google.com/store/books/details?id=omivDQAAQBAJ&rdid=book-omivDQAAQBAJ&rdot=1&source=gbs_api,"[{'finskyOfferType': 1, 'listPrice': {'amountInMicros': 49990000, 'currencyCode': 'USD'}, 'retailPrice': {'amountInMicros': 49990000, 'currencyCode': 'USD'}, 'giftable': True}]",http://books.google.com/books/download/Deep_Learning-sample-epub.acsm?id=omivDQAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api,machine_learning,http://books.google.com/books/download/Deep_Learning-sample-pdf.acsm?id=omivDQAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api
31,books#volume,jBm3DwAAQBAJ,Mo31+rA9AT0,https://www.googleapis.com/books/v1/volumes/jBm3DwAAQBAJ,Interpretable Machine Learning,,['Christoph Molnar'],2019,,"[{'type': 'ISBN_13', 'identifier': '9780244768522'}, {'type': 'ISBN_10', 'identifier': '0244768528'}]",False,True,314.0,BOOK,4.5,2.0,NOT_MATURE,False,0.1.0.0.preview.1,False,False,http://books.google.com/books/content?id=jBm3DwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=jBm3DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com/books?id=jBm3DwAAQBAJ&pg=PP1&dq=Machine+Learning&hl=&cd=2&source=gbs_api,http://books.google.com/books?id=jBm3DwAAQBAJ&dq=Machine+Learning&hl=&source=gbs_api,https://books.google.com/books/about/Interpretable_Machine_Learning.html?hl=&id=jBm3DwAAQBAJ,US,NOT_FOR_SALE,False,US,PARTIAL,True,False,ALLOWED,False,False,http://play.google.com/books/reader?id=jBm3DwAAQBAJ&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,This book is about making machine learning models and their decisions interpretable.,Lulu.com,,,,,,,,,machine_learning,
